Age,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Label,IntoAge,Satisfaction,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes
1,1,3,1447,4,2,2,2,5,2,3,1,1,7,2,2,5,4,0,2,0,27,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,2,4,925,4,2,4,2,1,2,3,1,0,3,3,2,3,2,1,2,0,44,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,15,4,2036,4,1,4,2,1,2,4,1,1,15,4,2,15,12,11,11,0,21,9,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,1,4,1172,4,2,3,2,6,2,3,2,1,10,2,3,8,0,1,7,0,25,9,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,19,3,1497,3,2,3,2,1,2,3,3,2,10,3,3,10,7,0,4,0,19,9,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,14,4,161,2,3,2,2,9,2,3,1,3,7,2,3,5,4,4,3,1,49,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,10,2,544,1,3,4,2,3,2,4,4,2,8,3,2,2,2,0,2,0,37,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,4,288,4,3,1,2,7,2,3,3,1,17,3,3,4,2,0,3,0,29,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,10,1,1800,3,3,3,2,7,2,4,3,0,9,3,3,4,3,2,2,0,30,9,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,3,4,776,3,2,1,2,1,2,3,1,0,34,3,4,34,6,1,16,0,18,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,1,3,951,3,2,2,2,6,2,4,3,0,5,3,3,3,0,0,2,0,27,8,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,18,1,624,1,3,3,2,5,2,3,4,0,28,3,2,2,2,1,2,0,18,8,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,17,2,536,3,3,1,2,1,2,3,4,1,10,2,3,10,0,1,8,0,18,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,23,2,824,3,4,3,2,1,2,4,3,1,10,3,3,10,7,0,7,0,19,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,24,1,2056,2,2,4,2,0,2,3,1,1,21,2,2,20,9,9,6,0,18,7,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,9,3,1238,1,3,4,2,0,2,3,2,1,15,5,3,14,10,4,10,0,18,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,3,3,307,1,3,3,2,0,2,3,3,2,17,6,2,16,10,5,13,0,21,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,5,2,1850,4,3,4,2,0,2,3,3,0,6,3,2,5,4,0,2,0,21,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,1,1,235,3,1,1,2,0,2,4,1,0,1,5,4,0,0,0,0,1,18,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,17,3,1013,3,3,3,2,8,2,3,3,1,22,2,3,10,7,0,8,0,32,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,23,4,901,4,3,4,2,6,2,3,3,0,33,0,3,12,9,3,8,0,20,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,8,1,1044,2,2,4,2,0,2,3,4,0,3,2,2,2,2,2,2,0,30,10,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,2,3,366,1,2,2,2,2,2,3,2,2,10,2,3,0,0,0,0,0,19,5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,3,3,702,1,3,1,2,1,2,3,1,0,10,3,3,10,8,9,7,1,23,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,29,3,836,2,3,2,2,1,2,3,4,1,10,3,2,9,8,7,8,0,32,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,10,4,1597,4,2,3,2,1,2,3,2,1,8,3,2,8,2,7,7,0,26,9,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,5,2,1029,4,3,3,2,6,2,3,2,0,21,3,4,1,0,0,0,0,21,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,1,3,476,3,3,3,2,1,2,3,2,1,8,3,3,8,7,7,7,0,18,8,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,4,1424,2,4,4,2,2,2,3,4,2,31,4,4,7,7,0,0,0,24,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,4,2044,2,3,3,2,7,2,3,4,2,12,3,3,6,3,0,1,1,38,9,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,7,4,1885,4,3,1,2,5,2,4,3,1,16,2,3,5,3,0,4,0,21,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,26,3,1612,1,2,1,2,1,2,3,1,1,10,2,3,10,7,4,5,0,35,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,15,3,754,4,2,4,2,3,2,3,3,1,7,5,3,2,2,2,2,0,36,11,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,5,3,42,4,3,4,2,3,2,3,3,1,19,6,4,1,0,0,0,1,20,11,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,2,2,1125,4,3,2,2,7,2,3,3,0,10,2,3,1,0,0,0,0,28,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,1,4,95,3,3,2,2,1,2,3,2,0,1,4,3,1,1,1,0,0,30,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,1,3,353,3,3,4,2,1,2,3,2,0,1,0,2,1,0,0,0,0,50,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,3,1237,3,1,1,2,2,2,4,3,1,17,2,3,7,7,7,7,0,19,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,6,1,2062,4,2,1,2,4,2,3,1,1,9,5,3,7,7,1,7,0,30,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,24,4,772,1,3,4,2,1,2,3,4,2,10,2,3,10,8,4,7,0,22,9,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,8,3,1647,2,4,3,2,7,2,3,1,0,5,0,3,3,2,0,2,0,22,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,9,3,2022,4,3,4,2,2,2,3,3,0,21,3,2,6,0,1,3,0,18,11,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,7,4,1577,1,3,4,2,1,2,3,3,0,1,4,1,1,0,0,0,0,33,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,27,2,247,4,3,2,2,2,2,3,4,0,9,3,3,3,2,1,2,0,25,10,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,16,3,327,4,3,4,2,5,2,4,3,1,22,3,3,17,13,1,9,0,21,11,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,2,4,1721,2,3,3,2,1,2,3,4,1,6,2,4,5,2,0,3,0,25,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,6,4,163,2,1,3,2,4,2,3,2,0,12,3,2,7,7,7,7,1,19,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,1,4,724,2,4,4,2,0,2,3,3,0,10,4,2,9,7,1,8,0,28,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,5,479,4,3,4,2,4,2,3,2,0,7,6,3,1,0,0,0,0,29,10,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,24,3,605,4,3,1,2,1,2,4,4,1,10,5,2,10,9,5,8,0,32,9,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,26,2,158,3,3,4,2,1,2,3,4,2,25,3,4,25,12,4,12,0,18,11,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,3,4,481,1,2,4,2,4,2,3,1,1,16,2,3,13,9,1,12,0,20,6,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,4,4,1081,1,3,3,2,9,2,3,3,3,18,2,4,10,0,2,7,1,33,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,2,3,1391,2,3,2,2,2,2,3,2,0,14,5,3,4,2,3,2,0,37,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,6,3,692,3,3,4,2,3,2,4,3,1,15,2,1,13,11,4,7,0,18,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,2,3,1987,3,3,2,2,4,2,3,3,0,6,3,3,2,0,1,2,0,19,8,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,10,3,446,2,2,4,2,3,2,3,3,0,9,6,2,7,7,0,1,0,24,9,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,13,3,1803,2,4,1,2,5,2,3,3,2,10,2,2,0,0,0,0,0,32,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,2,3,1657,3,3,3,2,1,2,3,1,0,2,3,3,2,2,2,2,0,18,7,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,2,1,470,3,3,3,2,0,2,3,3,1,4,5,3,3,2,1,0,0,38,9,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,3,3,2037,3,2,2,2,2,2,3,3,1,14,5,3,5,4,0,4,0,27,8,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,5,1,844,3,2,4,2,1,2,3,2,1,9,3,3,9,8,0,8,0,18,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,104,4,2,4,2,1,2,3,3,2,10,1,2,10,8,3,0,0,20,11,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,5,4,861,2,2,4,2,9,2,3,2,1,10,3,2,5,4,0,3,0,20,8,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,2,2,4,4,2,3,2,6,2,3,2,0,7,3,3,0,0,0,0,1,30,9,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,21,2,1551,3,2,1,2,0,2,3,2,3,2,3,3,1,1,0,0,0,22,6,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,29,3,273,4,3,4,2,3,2,3,1,1,9,3,1,7,7,1,7,0,29,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,8,4,1338,4,3,2,2,6,2,3,1,0,36,4,3,7,3,7,7,0,20,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,4,3,830,3,2,3,2,1,2,3,3,1,14,3,3,14,13,6,8,0,18,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,2,1,508,3,3,2,2,1,2,3,1,1,1,3,3,1,0,0,0,0,29,6,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,9,2,245,3,3,4,2,1,2,3,3,0,2,3,3,2,2,2,1,0,36,10,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,18,1,1399,1,4,3,2,2,2,3,2,0,6,3,2,3,2,1,2,0,19,6,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,3,1737,4,3,4,2,1,2,3,4,1,9,2,3,9,8,5,8,0,30,12,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,25,3,81,1,3,1,2,7,2,3,4,0,28,3,2,21,16,7,9,0,31,6,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,8,2,982,3,3,3,2,5,2,3,1,1,10,2,4,8,4,7,7,0,20,7,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,6,3,532,3,4,1,2,9,2,3,4,3,36,0,2,7,7,7,7,0,20,8,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,5,4,916,1,3,4,2,1,2,3,2,0,4,3,3,4,2,0,2,0,24,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,6,4,1997,1,2,3,2,2,2,3,4,1,10,1,3,8,3,7,7,0,28,8,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,9,4,498,2,3,4,2,1,2,3,4,0,7,1,3,7,5,0,7,0,21,10,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,2,3,243,2,2,4,2,1,2,4,3,0,1,3,2,1,0,1,0,1,18,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,7,4,28,1,3,2,2,0,2,3,3,0,13,4,3,12,6,2,11,0,21,6,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,7,4,211,2,2,3,2,2,2,3,3,0,10,2,3,1,0,0,0,0,41,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,10,3,1720,1,3,3,2,6,2,3,1,1,10,3,2,5,2,1,3,0,22,5,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,4,2052,3,1,4,2,1,2,3,4,1,4,5,3,4,3,1,1,0,31,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,2,4,140,3,2,4,2,9,2,4,4,1,30,3,3,3,2,2,2,0,29,11,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,10,3,1816,1,3,3,2,9,2,3,2,0,9,3,3,7,7,0,2,0,21,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1,4,3,1762,4,2,1,2,1,2,3,3,1,1,2,3,1,0,0,0,0,28,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,4,2,546,4,3,4,2,2,2,3,4,0,31,2,1,5,2,1,4,0,21,12,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,3,2,238,4,3,2,2,4,2,3,3,0,13,3,2,8,7,7,2,0,23,9,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,13,2,2053,4,2,2,2,4,2,3,1,1,10,2,3,4,3,0,3,0,19,7,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,18,5,1621,2,4,1,2,1,2,3,4,0,16,2,3,16,15,1,10,0,19,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,24,1,1273,3,1,4,2,1,2,3,4,0,1,4,3,1,0,1,0,1,24,11,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,19,4,799,4,3,1,2,9,2,3,2,2,9,4,3,5,3,1,4,0,45,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,7,3,420,4,2,3,2,1,2,3,3,1,13,3,2,13,8,4,8,0,19,10,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,2,4,329,1,2,3,2,1,2,3,4,0,33,2,4,33,7,15,12,0,19,8,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,9,1,581,3,3,2,2,1,2,4,4,1,13,6,4,13,8,0,8,0,18,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,10,3,1248,1,2,2,2,1,2,4,2,0,1,2,4,1,1,0,0,1,18,5,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,8,4,805,1,3,4,2,1,2,3,2,1,3,1,2,3,2,0,2,0,32,7,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,15,3,1870,4,2,1,2,0,2,3,4,1,8,2,2,7,6,7,3,0,19,9,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,24,3,622,3,1,4,2,1,2,3,2,0,1,3,1,1,0,0,0,1,25,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,15,2,1102,1,3,3,2,1,2,3,4,1,4,5,2,4,2,2,2,0,24,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,24,2,1907,1,3,4,2,1,2,3,4,0,5,3,3,4,2,1,0,1,51,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,14,4,1934,3,3,2,2,8,2,3,3,1,16,4,4,8,7,1,7,0,31,8,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,25,4,1318,4,2,2,2,2,2,3,3,0,9,2,3,5,4,1,0,1,31,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,4,3,1916,1,4,3,2,8,2,3,2,1,4,0,2,2,2,2,2,0,27,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,6,3,811,3,4,1,2,1,2,4,3,2,1,2,3,0,0,0,0,1,22,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,2,3,1207,2,3,3,2,1,2,3,4,1,5,2,3,5,4,1,4,0,28,9,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,2,2,1898,1,4,3,2,0,2,3,2,0,9,5,2,8,7,0,7,0,18,6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1,2,3,1706,4,3,4,2,1,2,3,1,1,10,3,3,10,9,8,8,0,33,9,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,28,4,1554,2,2,3,2,0,2,4,1,2,6,5,3,5,3,4,2,0,29,6,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,5,4,729,4,2,1,2,5,2,4,3,1,20,2,3,18,13,1,12,0,20,8,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,18,4,1133,1,3,4,2,2,2,4,1,0,18,0,3,11,9,0,9,0,18,6,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
